統編,公司名稱,公司地址,經度,緯度
00030129,安能電業股份有限公司,115臺北市南港區三重路19之9號5樓,311855,2772300
00066218,神燈智能科技股份有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
00077974,金富陽能源股份有限公司,115臺北市南港區園區街3號16號之1,311745,2772394
00185538,宇紘生物科技有限公司,115臺北市南港區園區街3號17樓,311745,2772394
00187894,穎銳生醫股份有限公司,115臺北市南港區三重路19之11號4樓,311923,2772402
00205350,台北數位創意股份有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
00205957,臺灣特斯肯有限公司,115臺北市南港區園區街3之2號9樓之1,311739,2772221
00234600,金長虹能源股份有限公司,115臺北市南港區園區街3號16樓之1,311745,2772394
01456077,康定股份有限公司,115臺北市南港區園區街3號9樓之1,311745,2772394
03213392,亞力電機股份有限公司,115臺北市南港區三重路19-11號12樓,311922.558,2772402.482
04405741,杉和實業股份有限公司,115臺北市南港區三重路19之13號14樓,311871,2772403
04697310,海益企業股份有限公司,115臺北市南港區三重路19之3號9樓之1,311836,2772182
04742997,寶齡富錦生技股份有限公司,115臺北市南港區園區街3號16樓,311745,2772394
04804640,展林企業股份有限公司,115臺北市南港區園區街3之1號5樓之3,311730,2772315
07155339,有萬科技股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
09468998,東光投資股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
09493666,碩訊科技股份有限公司,115臺北市南港區園區街3之1號6樓之1,311730,2772315
11332202,東元電機股份有限公司,115臺北市南港區三重路19-9號5樓,311936,2772124
11821341,台灣東洋藥品工業股份有限公司,115臺北市南港區園區街3-1號3樓,311730,2772315
12184616,景漢實業股份有限公司,115臺北市南港區三重路19之3號6樓之3,311835.5,2772182.452
12268328,陸禾水產股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
12368733,台灣恩益禧股份有限公司,115臺北市南港區園區街3之2號8樓,311739,2772221
12445648,偉旭有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
12495864,長椿實業股份有限公司,115臺北市南港區三重路19之2號7樓,311908,2772179
12623517,靖天傳播國際事業股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
12630860,儷榮科技股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
12663974,順天醫藥生技股份有限公司,115臺北市南港區園區街3-2號4樓,311730,2772315
12664299,吉昶投資股份有限公司,115臺北市南港區園區街3之2號6樓之3,311739,2772220
12664452,貝霖科技有限公司,115臺北市南港區三重路19之11號3樓,311923,2772402
12664880,權鋒國際股份有限公司,115臺北市南港區園區街3之2號4樓,311739,2772221
12693549,百力生物科技股份有限公司,115臺北市南港區園區街3號12樓之1,311745,2772394
12696551,東勝電氣股份有限公司,115臺北市南港區三重路19之9號5樓,311855,2772300
12859317,冠群科技智權有限公司,115臺北市南港區園區街3之2號3樓之2,311739,2772220
12867415,寰宇生物科技股份有限公司,115臺北市南港區園區街3號10樓之2,311745,2772394
12934907,騁威企管顧問股份有限公司,115臺北市南港區三重路19之2號7樓,311908,2772179
12936623,威鋒數位開發股份有限公司,115臺北市南港區園區街3之1號5樓,311730,2772315
12951166,樵泰投資股份有限公司,115臺北市南港區三重路19之11號10樓,311923,2772402
12951813,樵陞投資股份有限公司,115臺北市南港區三重路19之11號10樓,311923,2772402
12966029,威茂股份有限公司,115臺北市南港區園區街3號10樓之5,311745,2772394
13087943,廣來國際投資有限公司,115臺北市南港區園區街3之2號6樓之2,311739,2772220
13104984,瀰工科技股份有限公司,115臺北市南港區園區街3之2號7樓之3,311739,2772221
13105843,平珩國際股份有限公司,115臺北市南港區園區街3號9樓,311745,2772394
13115933,威視科技股份有限公司,115臺北市南港區園區街3之1號4樓之3,311730,2772315
14033663,巨路國際股份有限公司,115臺北市南港區園區街3之1號12樓,311730,2772315
16099112,擎亞電子股份有限公司,115臺北市南港區園區街3之2號13樓,311739,2772220
16138656,凱發科技股份有限公司,115臺北市南港區三重路19之13號3樓,311871,2772403
16170894,東和國際投資股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
16176150,台灣微脂體股份有限公司,115臺北市南港區園區街3號11樓之1,311745,2772394
16310023,眾匯智能健康股份有限公司,115臺北市南港區三重路19之13號5樓,311871,2772403
16313696,佰研生化科技股份有限公司,115臺北市南港區園區街3號10樓之6,311745,2772394
16318279,明欣生物科技股份有限公司,115臺北市南港區園區街3號10樓之3,311745,2772394
16446274,台灣高速鐵路股份有限公司,115臺北市南港區經貿二路66號13~15樓,312171,2772248
16540496,安普新股份有限公司,115臺北市南港區三重路19之3號3樓,311836,2772182
16589976,威躍股份有限公司,115臺北市南港區三重路19之3號6樓之2,311836,2772182
16634206,東安投資股份有限公司,115臺北市南港區三重路19-8號6樓,311936,2772124
16714931,路順投資股份有限公司,115臺北市南港區園區街3之1號12樓之1,311731,2772315
16766579,誼光國際公寓大廈管理維護股份有限公司,115臺北市南港區三重路19之6號1樓,311843,2772245
16793301,純真科技股份有限公司,115臺北市南港區三重路19之2號7樓之1,311908,2772179
18606304,晟德大藥廠股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
20740427,富台工程股份有限公司,115臺北市南港區三重路19之5號6樓,311911,2772236
20792640,偉聯科技股份有限公司,115臺北市南港區園區街3之1號5樓之1,311730,2772315
20808734,光元股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
20854461,九博企業股份有限公司,115臺北市南港區三重路19之3號9樓之3,311836,2772182
20906783,遠東藍藻工業股份有限公司,115臺北市南港區園區街3號13樓,311745,2772394
20934887,力象股份有限公司,115臺北市南港區三重路19之3號9樓之3,311836,2772182
20946791,慧與科技股份有限公司,115臺北市南港區經貿二路66號10樓之1,312171,2772248
22156759,精益科技股份有限公司,115臺北市南港區園區街3號13樓之1,311745,2772394
22167101,盈昇有限公司,115臺北市南港區三重路19之3號7樓,311836,2772182
22193500,旭宣系統科技股份有限公司,115臺北市南港區園區街3之2號6樓之3,311739,2772220
22332427,杉豐五金股份有限公司,115臺北市南港區三重路19之13號14樓,311871,2772403
22511651,保綱國際車業股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
22630517,光友股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
22733794,先鋒科技股份有限公司,115臺北市南港區三重路19之11號14樓,311923,2772402
22762827,偉盟系統股份有限公司,115臺北市南港區三重路19之11號13樓,311923,2772402
23131709,得意典藏股份有限公司,115臺北市南港區三重路19之10號2樓,311900,2772357
23145632,帆宣系統科技股份有限公司,115臺北市南港區園區街3-2號6樓,311739,2772220
23279224,歐室食品股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
23283894,波仕特生物科技股份有限公司,115臺北市南港區園區街3號14樓之2,311745,2772394
23415446,東元國際投資股份有限公司,115臺北市南港區三重路19-8號6樓,311936,2772124
23453010,長耀企業股份有限公司,115臺北市南港區三重路19之2號6樓,311908,2772179
23526674,西門子股份有限公司,115臺北市南港區園區街3號8樓,311745,2772394
23622992,九浩企業股份有限公司,115臺北市南港區三重路19之3號9樓之3,311836,2772182
23625631,遠東生物科技股份有限公司,115臺北市南港區園區街3號13樓,311745,2772394
23737093,碁峯資訊股份有限公司,115臺北市南港區三重路66號7樓之6,311990,2772260
23742188,臺灣瑞普有限公司,115臺北市南港區三重路19之3號6樓之2,311836,2772182
23826588,安台國際投資股份有限公司,115臺北市南港區三重路19之8號6樓,311915,2772292
23928945,安心食品服務股份有限公司,115臺北市南港區經貿二路66號16樓之3,312171,2772248
23929058,東捷資訊服務股份有限公司,115臺北市南港區三重路19之8號5樓,311915,2772292
24062764,裕美木業股份有限公司,115臺北市南港區三重路19之3號6樓之1,311836,2772182
24224070,宥竑有限公司,115臺北市南港區三重路19之2號6樓之1,311908,2772179
24255988,方碼科技有限公司,115臺北市南港區三重路19之11號3樓,311923,2772402
24306966,二十二世紀資本管理顧問股份有限公司,115臺北市南港區三重路66號12樓之3,311990,2772260
24313039,朝揚資訊股份有限公司,115臺北市南港區三重路19之13號3樓,311871,2772403
24456850,宇泰華科技股份有限公司,115臺北市南港區園區街3之1號7樓之1,311745,2772394
24469172,歐生全創新股份有限公司,115臺北市南港區三重路66號12樓之2,311990,2772260
24470430,茂嬴生物科技股份有限公司,115臺北市南港區園區街3號10樓之1,311745,2772394
24471466,醫睿醫藥科技股份有限公司,115臺北市南港區三重路66號11樓之3,311990,2772260
24482034,台北數位廣告股份有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
24486186,萬和資產管理股份有限公司,115臺北市南港區三重路19之13號14樓,311871,2772403
24486209,亞勤科技股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
24535010,慧德實業有限公司,115臺北市南港區三重路19之11號12樓,311923,2772402
24558245,山酮新藥開發股份有限公司,115臺北市南港區園區街3號17樓之1,311745,2772394
24561207,資育股份有限公司,115臺北市南港區三重路19之11號4樓,311923,2772402
24564823,以誠研發有限公司,115臺北市南港區三重路19之13號3樓,311871,2772403
24568807,美村餐飲股份有限公司,115臺北市南港區三重路19之9號5樓,311855,2772300
24570368,微傳股份有限公司,115臺北市南港區園區街3號10樓之5,311745,2772394
24740960,台灣富朗巴軟體科技有限公司,115臺北市南港區園區街3號4樓,311745,2772394
24744804,為什麼不股份有限公司,115臺北市南港區園區街3之2號9樓之1,311739,2772221
24746367,藍青國際股份有限公司,115臺北市南港區經貿二路66號16樓之1,312171.07,2772248.31
24746612,良知股份有限公司,115臺北市南港區三重路19之13號4樓,311871,2772403
24748610,伊莎廚房有限公司,115臺北市南港區三重路19之3號9樓之3,311836,2772182
24749478,能天使管理顧問有限公司,115臺北市南港區園區街3之1號6樓之 2,311870.69,2772403.114
24770680,太學投資控股股份有限公司,115臺北市南港區園區街3之1號4樓,311731,2772315
24778536,水流之音有限公司,115臺北市南港區三重路19-13號7樓,311870.69,2772403.114
24779958,台灣惠普資訊科技股份有限公司,115臺北市南港區經貿二路66號10樓,312171,2772248
24843993,西門子醫療設備股份有限公司,115臺北市南港區園區街3號2樓之2,311745,2772394
24933615,金立國際投資股份有限公司,115臺北市南港區園區街3號11樓,311745,2772394
24949530,飛鵬科技股份有限公司,115臺北市南港區園區街3號16樓之1,311745,2772394
24966565,臺灣長者家股份有限公司,115臺北市南港區三重路19之2號6樓之3,311908,2772179
24966988,糖蛙線上娛樂股份有限公司,115臺北市南港區園區街3號16樓之1,311745,2772394
24967570,莫奧數位股份有限公司,115臺北市南港區三重路19之6號1樓,311843,2772245
24967683,惠眾新創投資有限公司,115臺北市南港區園區街3之1號12樓之1,311731,2772315
24973088,漢碁股份有限公司,115臺北市南港區園區街3號12樓之5,311745,2772394
25103860,歐也空間室內裝修設計股份有限公司,115臺北市南港區三重路19之6號10樓,311843,2772245
25114206,寰杉資產管理股份有限公司,115臺北市南港區三重路19之13號14樓,311871,2772403
25139142,睿科網路科技有限公司,115臺北市南港區三重路66號6樓,311990,2772260
25146072,卉宜投資股份有限公司,115臺北市南港區園區街3之1號12樓之1,311731,2772315
25147234,中行投資股份有限公司,115臺北市南港區園區街3之1號12樓之1,311731,2772315
25148304,易絡盟有限公司,115臺北市南港區園區街3號5樓,311745,2772394
27332137,佳軒科技股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
27334424,安悅國際股份有限公司,115臺北市南港區三重路19之9號7樓,311855,2772300
27351767,亞普能股份有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
27522328,金銥生命科學股份有限公司,115臺北市南港區三重路19之13號5樓,311871,2772403
27546460,靖洋傳媒科技股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
27554334,泛泰醫療產品股份有限公司,115臺北市南港區園區街3號13樓之5,311745,2772394
27569553,安盛旅行社股份有限公司,115臺北市南港區三重路19之9號5樓-D室,311855,2772300
27574839,京潤科技股份有限公司,115臺北市南港區三重路19之9號6樓,311855,2772300
27576203,菲尼克斯有限公司,115臺北市南港區三重路66號3樓,311990,2772260
27715872,長春藤資產管理顧問股份有限公司,115臺北市南港區三重路66號12樓之2,311990,2772260
27740062,東威投資股份有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
27768390,冠德紅科技股份有限公司,115臺北市南港區三重路19之8號6樓,311915,2772292
27966981,浩集投資股份有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
27969278,台灣二版有限公司,115臺北市南港區園區街3號9樓,311745,2772394
28115263,光核生創股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
28190585,新昆燁科技有限公司,115臺北市南港區園區街3之2號9樓之1,311739,2772221
28225120,偉亙國際有限公司,115臺北市南港區三重路19-13號7樓,311870.69,2772403.114
28371994,寶盛國際股份有限公司,115臺北市南港區三重路19-5號2樓,311936,2772124
28443694,專晶半導體科技股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
28458149,保綱國際股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
28462376,軟功夫科技股份有限公司,115臺北市南港區三重路19之11號3樓,311923,2772402
28470278,兆鎮開發科技股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
28470544,加彼丹投資有限公司,115臺北市南港區園區街3號9樓,311745,2772394
28481520,儒琳投資股份有限公司,115臺北市南港區三重路19之11號10樓,311923,2772402
28653662,太河科技有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
28673169,新朝室內裝修設計工程有限公司,115臺北市南港區三重路19之3號7樓之3,311836,2772182
28692193,崧大投資股份有限公司,115臺北市南港區園區街3之2號4樓之3,311739,2772220
28694903,冠雲投資有限公司,115臺北市南港區園區街3-2號6樓之1,311739,2772220
28695494,愛訊國際顧問股份有限公司,115臺北市南港區園區街3之2號7樓之3,311739,2772221
28695868,崴宇投資有限公司,115臺北市南港區園區街3-2號6樓之1,311739,2772220
28708060,台灣有田製菓股份有限公司,115臺北市南港區三重路19-2號11樓,311936,2772124
28710642,忠鴻國際有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
28711781,玉晟管理顧問股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
28713839,宇霆投資股份有限公司,115臺北市南港區三重路19之3號7樓之3,311836,2772182
28820303,芳烈投資有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
28824835,美邦開發建設有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
28855739,華天國際股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
28969070,亞典行銷顧問有限公司,115臺北市南港區三重路19之2號6樓之3,311908,2772179
28988941,悠遊卡投資控股股份有限公司,115臺北市南港區園區街3-1號6樓之2,311730,2772315
29036323,三味風格有限公司,115臺北市南港區三重路19之4號,311910,2772215
29056848,歐原形象設計股份有限公司,115臺北市南港區三重路19之6號10樓,311843,2772245
29072360,仕傑科訊股份有限公司,115臺北市南港區三重路19之3號9樓,311836,2772182
29151337,宇萌數位科技股份有限公司,115臺北市南港區三重路19之11號3樓,311923,2772402
29154720,龍大昌精密工業有限公司,115臺北市南港區園區街3號12樓之3,311745,2772394
29171100,華西亞生醫股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
29176695,速博康科技股份有限公司,115臺北市南港區園區街3號15樓,311745,2772394
29185012,如鑫生物科技股份有限公司,115臺北市南港區園區街3號10樓之2,311745,2772394
30828484,偉仲企業股份有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
30852863,光元實業股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
30872489,頂石股份有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
33059683,正峰化學製藥股份有限公司,115臺北市南港區園區街3號16樓,311745,2772394
33150155,宜傑企業股份有限公司,115臺北市南港區三重路19之3號7樓之3,311836,2772182
34060414,世誠營造股份有限公司,115臺北市南港區三重路66號4樓,311990,2772260
42404010,博晟生醫股份有限公司,115臺北市南港區園區街3-2號4樓,311739,2772220
42607578,台雲資訊股份有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
42613635,漢衢股份有限公司,115臺北市南港區園區街3號12樓之5,311745,2772394
42629849,異軍互動娛樂股份有限公司,115臺北市南港區三重路19之3號6樓之1,311836,2772182
42654234,禾京投資股份有限公司,115臺北市南港區園區街3號16樓之1,311745,2772394
42712608,華擎軟體科技股份有限公司,115臺北市南港區三重路19之11號5樓,311923,2772402
42730134,數字知識縫製股份有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
42781323,優泊股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
42823436,博迪生技醫藥有限公司,115臺北市南港區園區街3號9樓,311745,2772394
42825188,左舍股份有限公司,115臺北市南港區園區街3號16樓之1,311745,2772394
42834911,布果股份有限公司,115臺北市南港區園區街3號16樓之1,311745,2772394
42838254,今時科技股份有限公司,115臺北市南港區三重路19之13號5樓,311871,2772403
42842476,台灣皇家寵物食品有限公司,115臺北市南港區三重路19之11號15樓,311923,2772402
42848400,澳優營養研究雲股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
42855324,德珩國際有限公司,115臺北市南港區園區街3號9樓,311745,2772394
42857575,博程科技股份有限公司,115臺北市南港區園區街3之2號9樓之1,311739,2772221
42867047,鑫鼎鑽科技有限公司,115臺北市南港區三重路19之5號10樓,311911,2772236
42996653,偉宸投資有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
43742968,庫網金融科技股份有限公司,115臺北市南港區三重路19之5號2樓,311911,2772236
43757238,華灃股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
43757379,華驤股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
43757440,華徽股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
43757455,華心股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
43757602,華霽股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
43757928,華權股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
43830414,華嶺股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
43935711,綿天科技股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
43940897,台灣新散熱股份有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
43944373,愛弟瑞奇投資股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
44882516,台灣東電化股份有限公司,115臺北市南港區三重路66號7樓之1,311990,2772260
50753222,連友科技有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
50769574,芸德投資有限公司,115臺北市南港區園區街3-2號7樓,311739,2772220
50772635,康百新生技股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
50775507,睿健邦生醫股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
50783160,東元旭能股份有限公司,115臺北市南港區三重路19之9號5樓,311855,2772300
50787433,誠軟有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
50788550,無成娛樂文化股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
50791751,聯蔚生醫科技股份有限公司,115臺北市南港區三重路19之11號5樓,311923,2772402
50797925,台灣瑪氏股份有限公司,115臺北市南港區三重路19之11號15樓,311923,2772402
50875323,城諾智能股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
50875560,展市華科技股份有限公司,115臺北市南港區三重路19之11號3樓,311923,2772402
50881612,珥力創新有限公司,115臺北市南港區三重路19之11號3樓,311923,2772402
50883914,邁高生物技術開發股份有限公司,115臺北市南港區園區街3號10樓之6,311745,2772394
50886166,靖天購物百貨股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
50897939,歐亞摩登股份有限公司,115臺北市南港區三重路19之8號6樓,311936,2772124
50906016,樂宇投資股份有限公司,115臺北市南港區三重路19之9號6樓,311855,2772300
50913781,聚典資訊股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
50997162,愷菲科技有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
51965006,雷也股份有限公司,115臺北市南港區三重路19之2號12樓,311908,2772179
52205031,華愷股份有限公司,115臺北市南港區三重路19-2號11樓,311936,2772124
52274944,聯科德科技股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
52328955,安世半導體股份有限公司,115臺北市南港區三重路19之9號4樓,311855,2772300
52475169,集研生醫股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
52524197,玄天生技股份有限公司,115臺北市南港區園區街3號17樓之1,311745,2772394
52532648,開酷科技股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
52550841,翔允國際有限公司,115臺北市南港區三重路19之10號2樓,311900,2772357
52597563,艾貝科思有限公司,115臺北市南港區三重路19之13號5樓,311871,2772403
52604488,台灣聯想環球科技股份有限公司,115臺北市南港區三重路66號8樓,311990,2772260
52796042,易西投資有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
53090466,台灣新照明股份有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
53091471,靖天娛樂股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
53093421,東生華製藥股份有限公司,115臺北市南港區園區街3之1號3樓之1,311731,2772315
53099396,雅虎數位行銷股份有限公司,115臺北市南港區三重路66號15樓,311990,2772260
53103390,威榮科技股份有限公司,115臺北市南港區園區街3之2號10樓之2,311739,2772221
53111309,訊奇股份有限公司,115臺北市南港區三重路19之13號8樓,311871,2772403
53116331,宜諾法國際醫藥股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
53116727,嚮樂科技股份有限公司,115臺北市南港區園區街3號14樓之6,311745,2772394
53216465,幸福新科技股份有限公司,115臺北市南港區三重路19之13號3樓,311871,2772403
53226196,創益生技股份有限公司,115臺北市南港區園區街3之1號3樓之1,311731,2772315
53313749,耐斯傳媒科技股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
53341816,華頓公寓大廈管理維護股份有限公司,115臺北市南港區三重路19之5號2樓,311911,2772236
53437018,耀德生物技術股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
53513182,應美盛國際科技股份有限公司,115臺北市南港區三重路66號7樓之1,311990,2772260
53529570,台睿生物科技股份有限公司,115臺北市南港區三重路66號6樓之1,311990,2772260
53555295,京湛視訊科技股份有限公司,115臺北市南港區三重路19之11號E棟3樓,311923,2772402
53555632,珀嘉股份有限公司,115臺北市南港區三重路19之2號6樓之2,311908,2772179
53556999,赫蒂法股份有限公司,115臺北市南港區園區街3號16樓之5,311745,2772394
53558217,加點元素有限公司,115臺北市南港區三重路19之13號3樓,311871,2772403
53564132,美思科技股份有限公司,115臺北市南港區園區街3號9樓之1,311745,2772394
53565511,威緒傳媒股份有限公司,115臺北市南港區園區街3之2號7樓之3,311739,2772221
53730934,京匯資本管理顧問股份有限公司,115臺北市南港區三重路66號12樓之3,311990,2772260
53736727,遠虹有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
53747153,紅利多雲端購物有限公司,115臺北市南港區三重路19之2號6樓之1,311908,2772179
53770323,永名財務科技股份有限公司,115臺北市南港區三重路19之11號4樓,311923,2772402
53909375,台灣富力思泰科技股份有限公司,115臺北市南港區三重路19之13號E棟4樓,311871,2772403
53916734,京老滿餐飲股份有限公司,115臺北市南港區經貿二路66號2樓之2,312171,2772248
53924185,華謙股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
53925564,神念科技股份有限公司,115臺北市南港區園區街3之2號9樓,311739,2772221
53952870,家和興股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
54139781,穩佐管理顧問有限公司,115臺北市南港區園區街3號14樓之3,311745,2772394
54156824,天馬資訊有限公司,115臺北市南港區三重路19之2號6樓之2,311908,2772179
54162311,饌元股份有限公司,115臺北市南港區三重路19之9號6樓,311855,2772300
54165507,逸達生物科技股份有限公司,115臺北市南港區三重路19-3號9樓之2,311745,2772394
54167815,宇禹建設股份有限公司,115臺北市南港區三重路19之2號7樓之1,311908,2772179
54170115,雷技資訊科技有限公司,115臺北市南港區三重路19之13號5樓,311871,2772403
54179283,華優投資股份有限公司,115臺北市南港區三重路19之11號13樓,311923,2772402
54186159,永鼎醫藥股份有限公司,115臺北市南港區園區街3號17樓,311745,2772394
54246522,一品宅計室內裝修有限公司,115臺北市南港區園區街3號14樓之7,311745,2772394
